"","level","Overall","0","1","2","p","test","Missing"
"criteria_4 (%)","0","81 (98.8)","35 (97.2)","19 (100.0)","27 (100.0)","0.524","","0.0"
"","1","1 (1.2)","1 (2.8)","0 (0.0)","0 (0.0)","","",""
"alb_terli_discont_day (median [IQR])","","3.60 [3.30, 4.10]","3.60 [3.30, 4.10]","3.40 [3.20, 4.00]","3.80 [3.38, 4.12]","0.507","nonnorm","9.8"
"terli_route_day0 (%)","1","70 (85.4)","30 (83.3)","15 (78.9)","25 (92.6)","0.392","","0.0"
"","2","12 (14.6)","6 (16.7)","4 (21.1)","2 (7.4)","","",""
"Discont_Day (median [IQR])","","4.00 [2.00, 6.00]","2.00 [1.00, 4.00]","4.00 [2.00, 8.00]","4.00 [3.00, 6.00]","0.001","nonnorm","0.0"
"albumin_before_terli (%)","0","8 (9.8)","2 (5.6)","3 (15.8)","3 (11.1)","0.458","","0.0"
"","1","74 (90.2)","34 (94.4)","16 (84.2)","24 (88.9)","","",""
"totalalbumin_before_terli (median [IQR])","","200.00 [112.50, 300.00]","212.50 [137.50, 350.00]","168.75 [100.00, 256.25]","200.00 [112.50, 225.00]","0.408","nonnorm","11.0"
"hrs_responders (%)","0","36 (43.9)","36 (100.0)","0 (0.0)","0 (0.0)","<0.001","","0.0"
"","1","19 (23.2)","0 (0.0)","19 (100.0)","0 (0.0)","","",""
"","2","27 (32.9)","0 (0.0)","0 (0.0)","27 (100.0)","","",""
"hrs_responders_cat_2 (%)","0","36 (43.9)","36 (100.0)","0 (0.0)","0 (0.0)","<0.001","","0.0"
"","1","46 (56.1)","0 (0.0)","19 (100.0)","27 (100.0)","","",""
"map_day0 (median [IQR])","","74.67 [69.50, 80.50]","74.29 [68.83, 78.46]","75.84 [69.96, 82.88]","76.84 [68.96, 80.83]","0.481","nonnorm","0.0"
