"","level","Overall","0","1","p","test","Missing"
"n","","243","161","82","","",""
"","1","62 (25.5)","43 (26.7)","19 (23.2)","","",""
"","2","72 (29.6)","45 (28.0)","27 (32.9)","","",""
"hrs_responders_cat_2 (%)","0","109 (44.9)","73 (45.3)","36 (43.9)","0.939","","0.0"
"","1","134 (55.1)","88 (54.7)","46 (56.1)","","",""
"map_day0 (median [IQR])","","76.25 [69.75, 81.67]","76.58 [70.34, 82.83]","74.67 [69.50, 80.50]","0.189","nonnorm","0.0"
"rrt_90days (%)","0","168 (69.1)","121 (75.2)","47 (57.3)","0.007","","0.0"
"","1","75 (30.9)","40 (24.8)","35 (42.7)","","",""
"lt_90days (%)","0","224 (92.2)","160 (99.4)","64 (78.0)","<0.001","","0.0"
"","1","19 (7.8)","1 (0.6)","18 (22.0)","","",""
"time_to_death_status_90days (%)","0","141 (58.0)","76 (47.2)","65 (79.3)","<0.001","","0.0"
"","1","102 (42.0)","85 (52.8)","17 (20.7)","","",""
